index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2014-11-28 11:00:00,2014-11-28,3331902800.0,,68762.0,482.38,484.307,482.38,501.357,447.239,1660620.0,486.384
2014-11-28 11:15:00,2014-11-28,804802200.0,,16636.0,482.762,483.469,484.307,501.356,447.243,1666334.0,484.681
2014-11-28 11:30:00,2014-11-28,2087408800.0,,43106.0,482.762,484.592,483.388,501.354,447.242,1651478.0,485.383
2014-11-28 13:45:00,2014-11-28,4443018000.0,,91590.0,483.763,485.783,484.681,501.372,447.251,1637176.0,487.619
2014-11-28 14:00:00,2014-11-28,10547966000.0,,216482.0,484.856,487.486,486.407,501.379,447.255,1640318.0,488.703
2014-11-28 14:15:00,2014-11-28,12061788200.0,,247544.0,484.188,485.818,487.778,501.416,447.257,1632260.0,490.806
2014-11-28 14:30:00,2014-11-28,3988239200.0,,82158.0,484.577,485.916,485.902,501.429,447.298,1618304.0,487.546
2014-11-28 14:45:00,2014-11-28,2595992400.0,,53562.0,484.205,486.204,485.287,501.423,447.313,1613570.0,486.206
2014-11-28 15:00:00,2014-11-28,3284287400.0,,67734.0,484.575,485.959,486.119,501.423,447.321,1578908.0,486.959
2014-12-01 09:15:00,2014-12-01,23386914400.0,,493158.0,470.397,477.839,478.839,503.926,465.719,1585262.0,479.631
2014-12-01 09:30:00,2014-12-01,8176453400.0,,170742.0,477.006,478.021,477.922,503.915,465.715,1576888.0,482.618
2014-12-01 09:45:00,2014-12-01,6739133800.0,,140492.0,478.307,480.056,478.307,503.894,465.72,1589146.0,482.975
2014-12-01 10:00:00,2014-12-01,1408135400.0,,29348.0,478.012,478.383,480.138,503.892,465.688,1586600.0,480.138
2014-12-01 10:15:00,2014-12-01,1690800000.0,,35380.0,478.381,479.01,479.096,503.853,465.682,1582200.0,480.015
2014-12-01 10:45:00,2014-12-01,2445636600.0,,50964.0,478.304,479.404,479.006,503.87,465.683,1580810.0,480.033
2014-12-01 11:00:00,2014-12-01,1022338600.0,,21356.0,478.327,478.618,479.323,503.873,465.704,1576686.0,480.241
2014-12-01 11:15:00,2014-12-01,3399940400.0,,70914.0,477.497,480.338,478.618,503.885,465.704,1575438.0,481.965
2014-12-01 11:30:00,2014-12-01,4079213400.0,,85126.0,479.339,480.558,480.338,503.905,465.721,1577438.0,482.477
2014-12-01 13:45:00,2014-12-01,4018165600.0,,84102.0,477.792,478.7,479.721,503.902,465.722,1589204.0,481.477
2014-12-01 14:00:00,2014-12-01,2816159600.0,,58750.0,478.699,480.259,479.333,503.891,465.722,1583680.0,481.255
2014-12-01 14:15:00,2014-12-01,2379641800.0,,49750.0,477.693,479.331,480.259,503.891,465.717,1585148.0,480.259
2014-12-01 14:30:00,2014-12-01,2776683200.0,,57832.0,478.406,481.297,480.044,503.881,465.689,1587364.0,481.297
2014-12-01 14:45:00,2014-12-01,1987612200.0,,41384.0,480.299,480.663,481.299,503.852,465.688,1589526.0,482.219
2014-12-01 15:00:00,2014-12-01,7194159200.0,,150002.0,477.823,480.143,480.66,503.856,465.66,1562464.0,481.293
2014-12-02 09:15:00,2014-12-02,18490056200.0,,380960.0,481.492,482.414,488.453,496.881,459.258,1609014.0,491.087
2014-12-02 09:30:00,2014-12-02,2545413200.0,,52766.0,481.407,482.332,482.409,496.845,459.252,1615066.0,483.332
2014-12-02 09:45:00,2014-12-02,894803400.0,,18544.0,482.333,483.685,483.254,496.847,459.25,1621406.0,484.327
