index,trading_date,total_turnover,low,limit_down,limit_up,high,basis_spread,volume,close,open,open_interest
2015-03-23 15:00:00,2015-03-23,3142470400.0,12915.0,11775.0,13280.0,12995.0,,24278.0,12990.0,12935.0,218798.0
2015-03-23 21:15:00,2015-03-24,3190025600.0,12960.0,12080.0,13625.0,13050.0,,24520.0,13025.0,13050.0,223084.0
2015-03-23 21:30:00,2015-03-24,2902506500.0,13025.0,12080.0,13625.0,13095.0,,22222.0,13075.0,13025.0,226498.0
2015-03-23 21:45:00,2015-03-24,4329547000.0,13060.0,12080.0,13625.0,13200.0,,32974.0,13175.0,13075.0,228946.0
2015-03-23 22:00:00,2015-03-24,2455772000.0,13130.0,12080.0,13625.0,13185.0,,18676.0,13150.0,13180.0,228880.0
2015-03-23 22:15:00,2015-03-24,1452704200.0,13130.0,12080.0,13625.0,13160.0,,11050.0,13155.0,13155.0,229512.0
2015-03-23 22:30:00,2015-03-24,1156303000.0,13135.0,12080.0,13625.0,13165.0,,8792.0,13145.0,13155.0,229320.0
2015-03-23 22:45:00,2015-03-24,1438248400.0,13140.0,12080.0,13625.0,13180.0,,10932.0,13170.0,13150.0,228752.0
2015-03-23 23:00:00,2015-03-24,2793560800.0,13165.0,12080.0,13625.0,13215.0,,21176.0,13215.0,13175.0,227002.0
2015-03-23 23:15:00,2015-03-24,528400.0,13210.0,12080.0,13625.0,13210.0,,4.0,13210.0,13210.0,227002.0
2015-03-23 23:30:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-23 23:45:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 00:00:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 00:15:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 00:30:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 00:45:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 01:00:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 01:15:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 01:30:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 01:45:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 02:00:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 02:15:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 02:30:00,2015-03-24,0.0,13210.0,12080.0,13625.0,13210.0,,0.0,13210.0,13210.0,227002.0
2015-03-24 09:15:00,2015-03-24,7475325900.0,13135.0,12080.0,13625.0,13270.0,,56636.0,13155.0,13220.0,228068.0
2015-03-24 09:30:00,2015-03-24,5731266000.0,13050.0,12080.0,13625.0,13175.0,,43718.0,13055.0,13150.0,226630.0
2015-03-24 09:45:00,2015-03-24,3962306200.0,13040.0,12080.0,13625.0,13085.0,,30338.0,13050.0,13050.0,227030.0
2015-03-24 10:00:00,2015-03-24,2313626200.0,13035.0,12080.0,13625.0,13090.0,,17708.0,13065.0,13050.0,226880.0
2015-03-24 10:15:00,2015-03-24,2205537000.0,13055.0,12080.0,13625.0,13115.0,,16854.0,13110.0,13070.0,226048.0
2015-03-24 10:45:00,2015-03-24,3234844200.0,13085.0,12080.0,13625.0,13170.0,,24620.0,13150.0,13105.0,226718.0
2015-03-24 11:00:00,2015-03-24,3061442500.0,13060.0,12080.0,13625.0,13150.0,,23372.0,13070.0,13145.0,224832.0
2015-03-24 11:15:00,2015-03-24,2463071700.0,13035.0,12080.0,13625.0,13095.0,,18858.0,13050.0,13080.0,227642.0
2015-03-24 11:30:00,2015-03-24,5719103600.0,12950.0,12080.0,13625.0,13055.0,,43960.0,13040.0,13050.0,225160.0
2015-03-24 13:45:00,2015-03-24,2325756000.0,13010.0,12080.0,13625.0,13070.0,,17832.0,13035.0,13045.0,227934.0
2015-03-24 14:00:00,2015-03-24,1612455400.0,13020.0,12080.0,13625.0,13065.0,,12364.0,13060.0,13035.0,228320.0
2015-03-24 14:15:00,2015-03-24,2809419900.0,13040.0,12080.0,13625.0,13110.0,,21482.0,13110.0,13060.0,229318.0
2015-03-24 14:30:00,2015-03-24,3792602800.0,13070.0,12080.0,13625.0,13150.0,,28924.0,13100.0,13115.0,227386.0
2015-03-24 14:45:00,2015-03-24,1857467800.0,13095.0,12080.0,13625.0,13130.0,,14168.0,13105.0,13100.0,228280.0
2015-03-24 15:00:00,2015-03-24,4360215900.0,13050.0,12080.0,13625.0,13145.0,,33308.0,13050.0,13110.0,225788.0
2015-03-24 21:15:00,2015-03-25,3808410700.0,12990.0,12310.0,13885.0,13070.0,,29238.0,13005.0,13050.0,231920.0
2015-03-24 21:30:00,2015-03-25,3086044300.0,12955.0,12310.0,13885.0,13015.0,,23768.0,12995.0,13005.0,234060.0
2015-03-24 21:45:00,2015-03-25,2743651100.0,12920.0,12310.0,13885.0,13000.0,,21168.0,12965.0,13000.0,234344.0
2015-03-24 22:00:00,2015-03-25,2438156500.0,12930.0,12310.0,13885.0,12995.0,,18814.0,12955.0,12965.0,236256.0
2015-03-24 22:15:00,2015-03-25,1494997400.0,12940.0,12310.0,13885.0,12980.0,,11534.0,12975.0,12960.0,238110.0
2015-03-24 22:30:00,2015-03-25,1807057800.0,12940.0,12310.0,13885.0,12980.0,,13944.0,12970.0,12980.0,238474.0
2015-03-24 22:45:00,2015-03-25,1449771300.0,12960.0,12310.0,13885.0,12995.0,,11168.0,12975.0,12975.0,238770.0
2015-03-24 23:00:00,2015-03-25,1416102000.0,12945.0,12310.0,13885.0,12990.0,,10920.0,12955.0,12980.0,235106.0
