,open,close,high,low,volume,money
2016-01-29 13:29:00,8.01,8.08,8.09,8.0,9334349.0,75195899.0
2016-01-29 13:59:00,8.08,8.05,8.09,8.03,5203692.0,41946609.0
2016-01-29 14:29:00,8.05,8.08,8.08,8.02,6563981.0,52853927.0
2016-01-29 14:59:00,8.07,8.09,8.15,8.05,14491586.0,117651487.0
2016-02-01 09:59:00,8.09,8.05,8.1,8.04,8608245.0,69464763.0
2016-02-01 10:29:00,8.05,8.01,8.06,8.0,6553977.0,52613489.0
2016-02-01 10:59:00,8.01,8.0,8.05,8.0,6215570.0,49845313.0
2016-02-01 11:29:00,8.0,8.0,8.04,7.96,4528739.0,36219871.0
2016-02-01 13:29:00,7.98,8.0,8.01,7.96,2685241.0,21456679.0
2016-02-01 13:59:00,7.99,7.94,8.03,7.93,9321751.0,74494171.0
2016-02-01 14:29:00,7.93,7.92,8.01,7.91,6921907.0,54951599.0
2016-02-01 14:59:00,7.92,7.94,7.96,7.88,6790327.0,53810522.0
2016-02-02 09:59:00,7.93,8.03,8.03,7.93,4338592.0,34624502.0
2016-02-02 10:29:00,8.02,8.04,8.05,7.94,6187770.0,49564596.0
2016-02-02 10:59:00,8.04,8.09,8.1,8.02,11617561.0,93689720.0
2016-02-02 11:29:00,8.09,8.09,8.12,8.08,6244237.0,50560387.0
2016-02-02 13:29:00,8.08,8.07,8.1,8.05,5352321.0,43209153.0
2016-02-02 13:59:00,8.07,8.09,8.09,8.05,3991043.0,32223401.0
2016-02-02 14:29:00,8.09,8.05,8.09,8.03,3712936.0,29894580.0
2016-02-02 14:59:00,8.04,8.05,8.06,8.03,4180447.0,33637024.0
2016-02-03 09:59:00,8.05,7.95,8.05,7.93,5924362.0,47200730.0
2016-02-03 10:29:00,7.95,7.98,7.98,7.95,3583205.0,28529720.0
2016-02-03 10:59:00,7.98,7.98,7.99,7.96,3152387.0,25124988.0
2016-02-03 11:29:00,7.97,7.97,8.0,7.95,3315225.0,26427099.0
2016-02-03 13:29:00,7.98,7.95,7.98,7.94,2660288.0,21162079.0
2016-02-03 13:59:00,7.96,7.92,7.96,7.91,5110534.0,40519178.0
2016-02-03 14:29:00,7.92,7.96,7.98,7.92,5472539.0,43498955.0
2016-02-03 14:59:00,7.96,7.98,8.0,7.95,4467333.0,35637042.0
2016-02-04 09:59:00,7.97,8.05,8.05,7.97,6801694.0,54580397.0
2016-02-04 10:29:00,8.05,8.05,8.07,8.04,6849755.0,55193603.0
2016-02-04 10:59:00,8.06,8.08,8.09,8.05,5945611.0,48014247.0
2016-02-04 11:29:00,8.07,8.03,8.09,8.03,5021577.0,40395250.0
2016-02-04 13:29:00,8.03,8.03,8.05,8.0,5517509.0,44268081.0
2016-02-04 13:59:00,8.03,8.0,8.05,8.0,4597554.0,36860236.0
2016-02-04 14:29:00,8.0,8.01,8.03,8.0,5121654.0,41037479.0
2016-02-04 14:59:00,8.0,8.05,8.05,8.0,6141314.0,49366470.0
2016-02-05 09:59:00,8.05,8.05,8.07,8.02,4958571.0,39915583.0
2016-02-05 10:29:00,8.05,8.05,8.06,8.04,3905055.0,31437492.0
2016-02-05 10:59:00,8.05,8.03,8.05,8.02,3484368.0,28001952.0
2016-02-05 11:29:00,8.04,8.05,8.05,8.02,2514494.0,20204653.0
2016-02-05 13:29:00,8.05,8.04,8.06,8.03,2307672.0,18562756.0
2016-02-05 13:59:00,8.04,8.05,8.07,8.04,3611992.0,29095174.0
2016-02-05 14:29:00,8.05,8.03,8.06,8.02,6004794.0,48275874.0
2016-02-05 14:59:00,8.04,8.03,8.05,8.02,6564970.0,52769560.0
2016-02-15 09:59:00,8.03,7.86,8.03,7.82,12318334.0,96760046.0
2016-02-15 10:29:00,7.85,7.88,7.88,7.83,4773617.0,37484948.0
2016-02-15 10:59:00,7.87,7.89,7.9,7.86,3422342.0,26943749.0
2016-02-15 11:29:00,7.88,7.89,7.9,7.88,2716130.0,21425965.0
2016-02-15 13:29:00,7.88,7.95,7.96,7.88,3067877.0,24306194.0
2016-02-15 13:59:00,7.95,7.92,7.97,7.9,2464583.0,19561609.0
2016-02-15 14:29:00,7.92,7.92,7.95,7.91,1624316.0,12878897.0
2016-02-15 14:59:00,7.93,7.93,7.96,7.92,4312277.0,34235911.0
2016-02-16 09:59:00,7.92,8.03,8.05,7.92,7237331.0,57932927.0
2016-02-16 10:29:00,8.03,8.09,8.11,8.02,8952086.0,72251750.0
2016-02-16 10:59:00,8.09,8.09,8.1,8.06,4956469.0,40084959.0
2016-02-16 11:29:00,8.08,8.09,8.11,8.08,4731856.0,38277761.0
2016-02-16 13:29:00,8.09,8.1,8.11,8.09,6038643.0,48927590.0
2016-02-16 13:59:00,8.09,8.08,8.1,8.07,6441545.0,52060759.0
2016-02-16 14:29:00,8.08,8.08,8.1,8.07,5928932.0,47928282.0
2016-02-16 14:59:00,8.08,8.1,8.12,8.08,8569328.0,69378324.0
2016-02-17 09:59:00,8.1,8.13,8.16,8.09,11752850.0,95443284.0
2016-02-17 10:29:00,8.14,8.23,8.26,8.11,15544856.0,127203502.0
2016-02-17 10:59:00,8.22,8.22,8.25,8.19,9083295.0,74688552.0
2016-02-17 11:29:00,8.22,8.13,8.22,8.13,7169504.0,58677473.0
2016-02-17 13:29:00,8.13,8.13,8.15,8.09,7421173.0,60222817.0
2016-02-17 13:59:00,8.13,8.13,8.15,8.11,5129932.0,41710762.0
2016-02-17 14:29:00,8.13,8.15,8.19,8.13,5612152.0,45773559.0
2016-02-17 14:59:00,8.15,8.22,8.22,8.13,10161148.0,83251786.0
2016-02-18 09:59:00,8.22,8.24,8.27,8.2,13047780.0,107461049.0
2016-02-18 10:29:00,8.24,8.22,8.26,8.2,9229087.0,75890934.0
2016-02-18 10:59:00,8.21,8.22,8.23,8.2,3815236.0,31357914.0
2016-02-18 11:29:00,8.22,8.22,8.25,8.19,4637462.0,38069688.0
2016-02-18 13:29:00,8.22,8.23,8.24,8.22,3357603.0,27615156.0
2016-02-18 13:59:00,8.22,8.2,8.23,8.19,5289557.0,43407137.0
2016-02-18 14:29:00,8.2,8.21,8.22,8.2,3749752.0,30784223.0
2016-02-18 14:59:00,8.21,8.17,8.21,8.17,7400667.0,60567705.0
2016-02-19 09:59:00,8.17,8.17,8.21,8.15,7659747.0,62663506.0
2016-02-19 10:29:00,8.17,8.18,8.19,8.17,4440273.0,36320024.0
2016-02-19 10:59:00,8.17,8.17,8.19,8.17,2386622.0,19521202.0
2016-02-19 11:29:00,8.17,8.13,8.17,8.1,7080174.0,57567492.0
